dataset,freq,size,fpr,throughput,num_queries
url,0.02,46706,0.028656870226060366,23300.124297758248,10000000
url,0.04,46706,0.05420368644903936,23442.792409044545,10000000
url,0.06,46706,0.07712417052953448,23464.80745505887,10000000
url,0.08,46706,0.09780612679293481,23564.304857119034,10000000
url,0.1,46706,0.11655899779836885,23636.11927262141,10000000
url,0.02,46706,0.028656870226060366,23123.793843071682,10000000
url,0.04,46706,0.05420368644903936,23148.200250759975,10000000
url,0.06,46706,0.07712417052953448,23236.935118305344,10000000
url,0.08,46706,0.09780612679293481,23373.423203163013,10000000
url,0.1,46706,0.11655899779836885,23417.73197117189,10000000
url,0.02,46706,0.028656870226060366,23189.900927020717,10000000
url,0.04,46706,0.05420368644903936,23278.41436047205,10000000
url,0.06,46706,0.07712417052953448,23407.195211107155,10000000
url,0.08,46706,0.09780612679293481,23503.963243790575,10000000
url,0.1,46706,0.11655899779836885,23525.0797862655,10000000
