dataset,query_dist,num_queries,freq,size,fpr,insert_time,amortized_query
ember,unif,10000000,0.020,606338,0.04109674660981,308498,0.48345280000000
ember,unif,10000000,0.040,606338,0.07938771115075,309801,0.48734700000000
ember,unif,10000000,0.060,606338,0.11326958038152,317557,0.49040690000000
ember,unif,10000000,0.080,606338,0.14495452807880,309906,0.49451490000000
ember,unif,10000000,0.100,606338,0.16854195212112,309603,0.49695560000000
ember,unif,10000000,0.020,606338,0.04118516848530,309786,0.48358090000000
ember,unif,10000000,0.040,606338,0.07930466989676,309746,0.48775790000000
ember,unif,10000000,0.060,606338,0.11318231860617,309493,0.49007110000000
ember,unif,10000000,0.080,606338,0.14493040794412,309614,0.49370820000000
ember,unif,10000000,0.100,606338,0.16851015921445,309681,0.49705690000000
ember,unif,10000000,0.020,606338,0.04114711782678,309656,0.48368760000000
ember,unif,10000000,0.040,606338,0.07929687341800,309711,0.48639180000000
ember,unif,10000000,0.060,606338,0.11332491588759,309776,0.49214200000000
ember,unif,10000000,0.080,606338,0.14487470716105,309585,0.49384570000000
ember,unif,10000000,0.100,606338,0.16851928264510,309688,0.49812640000000
url,unif,10000000,0.020,77672,0.03318083367752,47429,0.43292220000000
url,unif,10000000,0.040,77672,0.06288002324253,46763,0.43728020000000
url,unif,10000000,0.060,77672,0.08982148160351,46760,0.44257040000000
url,unif,10000000,0.080,77672,0.11531732913424,46748,0.44740080000000
url,unif,10000000,0.100,77672,0.13490190015249,46751,0.45188930000000
url,unif,10000000,0.020,77672,0.03325199833451,46732,0.43259000000000
url,unif,10000000,0.040,77672,0.06295956000152,46766,0.43767650000000
url,unif,10000000,0.060,77672,0.09002878954206,46706,0.44389820000000
url,unif,10000000,0.080,77672,0.11517564394622,46724,0.44670450000000
url,unif,10000000,0.100,77672,0.13465331508678,46758,0.45155150000000
url,unif,10000000,0.020,77672,0.03322699956893,46728,0.43279320000000
url,unif,10000000,0.040,77672,0.06284692343166,46726,0.43789930000000
url,unif,10000000,0.060,77672,0.08990909866701,46752,0.44227160000000
url,unif,10000000,0.080,77672,0.11526915412430,46729,0.44669600000000
url,unif,10000000,0.100,77672,0.13451058434196,46764,0.45011120000000
shalla,unif,10000000,0.020,4807488,0.07594678376253,2338906,0.64096180000000
shalla,unif,10000000,0.040,4807488,0.14424811547846,2333963,0.64308440000000
shalla,unif,10000000,0.060,4807488,0.20093520761367,2334932,0.64441780000000
shalla,unif,10000000,0.080,4807488,0.25064385118755,2335161,0.64584620000000
shalla,unif,10000000,0.100,4807488,0.28616586573007,2339375,0.64876900000000
shalla,unif,10000000,0.020,4807488,0.07593895442432,2336650,0.64002690000000
shalla,unif,10000000,0.040,4807488,0.14422797106557,2336383,0.64178320000000
shalla,unif,10000000,0.060,4807488,0.20098891287431,2335052,0.64466350000000
shalla,unif,10000000,0.080,4807488,0.25069130646093,2335867,0.64598940000000
shalla,unif,10000000,0.100,4807488,0.28620547571770,2335735,0.64736240000000
shalla,unif,10000000,0.020,4807488,0.07596924982254,2337279,0.63986620000000
shalla,unif,10000000,0.040,4807488,0.14416578015576,2336590,0.64262080000000
shalla,unif,10000000,0.060,4807488,0.20096422462261,2336125,0.64396940000000
shalla,unif,10000000,0.080,4807488,0.25070003578591,2336111,0.64875600000000
shalla,unif,10000000,0.100,4807488,0.28619735095041,2393265,0.64996770000000
caida,unif,10000000,0.020,2408635,0.02314862658842,1227380,0.41597290000000
caida,unif,10000000,0.040,2408635,0.04661552037632,1220717,0.42552180000000
caida,unif,10000000,0.060,2408635,0.06815210749851,1220313,0.43461690000000
caida,unif,10000000,0.080,2408635,0.08873418655883,1218241,0.44459090000000
caida,unif,10000000,0.100,2408635,0.10455867646501,1216971,0.45173060000000
caida,unif,10000000,0.020,2408635,0.02314307370497,1217144,0.41607030000000
caida,unif,10000000,0.040,2408635,0.04662091539528,1217245,0.42543750000000
caida,unif,10000000,0.060,2408635,0.06816049540036,1220972,0.43474000000000
caida,unif,10000000,0.080,2408635,0.08872800123874,1224822,0.44376970000000
caida,unif,10000000,0.100,2408635,0.10456343563520,1217472,0.45134360000000
caida,unif,10000000,0.020,2408635,0.02315151406286,1217654,0.41581280000000
caida,unif,10000000,0.040,2408635,0.04663561915661,1217357,0.42618560000000
caida,unif,10000000,0.060,2408635,0.06815483610966,1219011,0.43531790000000
caida,unif,10000000,0.080,2408635,0.08874404423919,1224661,0.44537760000000
caida,unif,10000000,0.100,2408635,0.10455942300486,1217403,0.45125790000000
